"Folder"	"Gene"	"iframe"
"STAMP_all_Lollipop"	"FGD1"	2208
"STAMP_all_Lollipop"	"FGF3"	2210
"STAMP_all_Lollipop"	"FGF4"	2212
"STAMP_all_Lollipop"	"FGFR1"	2214
"STAMP_all_Lollipop"	"FGFR2"	2216
"STAMP_all_Lollipop"	"FGFR3"	2218
"STAMP_all_Lollipop"	"FLT3"	2220
"STAMP_all_Lollipop"	"FOXO1"	2222
"STAMP_all_Lollipop"	"FRYL"	2224
"STAMP_all_Lollipop"	"GABRA2"	2226
"STAMP_all_Lollipop"	"GABRA6"	2228
"STAMP_all_Lollipop"	"GATA3"	2230
"STAMP_all_Lollipop"	"GNA11"	2232
"STAMP_all_Lollipop"	"GNAQ"	2234
"STAMP_all_Lollipop"	"GNAS"	2236
"STAMP_all_Lollipop"	"GRID1"	2238
"STAMP_all_Lollipop"	"GRIK3"	2240
"STAMP_all_Lollipop"	"GRM8"	2242
"STAMP_all_Lollipop"	"HAX1"	2244
"STAMP_all_Lollipop"	"HCN1"	2246
"STAMP_all_Lollipop"	"HGF"	2248
"STAMP_all_Lollipop"	"HNF1A"	2250
"STAMP_all_Lollipop"	"HRAS"	2252
"STAMP_all_Lollipop"	"HTR1A"	2254
"STAMP_all_Lollipop"	"IDH1"	2256
"STAMP_all_Lollipop"	"IDH2"	2258
"STAMP_all_Lollipop"	"IFLTD1"	2260
"STAMP_all_Lollipop"	"IGF1R"	2262
"STAMP_all_Lollipop"	"IGFL3"	2264
"STAMP_all_Lollipop"	"IQCJ-SCHIP1"	2266
"STAMP_all_Lollipop"	"JAK2"	2268
"STAMP_all_Lollipop"	"JAK3"	2270
"STAMP_all_Lollipop"	"KCND2"	2272
"STAMP_all_Lollipop"	"KCNJ3"	2274
"STAMP_all_Lollipop"	"KCNT2"	2276
"STAMP_all_Lollipop"	"KDR"	2278
"STAMP_all_Lollipop"	"KEAP1"	2280
"STAMP_all_Lollipop"	"KIT"	2282
"STAMP_all_Lollipop"	"KLHL1"	2284
"STAMP_all_Lollipop"	"KRAS"	2286
"STAMP_all_Lollipop"	"LANCL2"	2288
"STAMP_all_Lollipop"	"LPL"	2290
"STAMP_all_Lollipop"	"LPPR4"	2292
"STAMP_all_Lollipop"	"LRFN5"	2294
"STAMP_all_Lollipop"	"LRP1B"	2296
"STAMP_all_Lollipop"	"LRRIQ3"	2298
"STAMP_all_Lollipop"	"LRRTM1"	2300
"STAMP_all_Lollipop"	"LRRTM4"	2302
"STAMP_all_Lollipop"	"MAP2K1"	2304
"STAMP_all_Lollipop"	"MAP2K2"	2306
"STAMP_all_Lollipop"	"MARCH1"	2308
"STAMP_all_Lollipop"	"MCCC1"	2310
"STAMP_all_Lollipop"	"MCF2L2"	2312
"STAMP_all_Lollipop"	"MCL1"	2314
"STAMP_all_Lollipop"	"MDM2"	2316
"STAMP_all_Lollipop"	"MDM4"	2318
"STAMP_all_Lollipop"	"MECOM"	2320
"STAMP_all_Lollipop"	"MED12"	2322
"STAMP_all_Lollipop"	"MET"	2324
"STAMP_all_Lollipop"	"MKRN3"	2326
"STAMP_all_Lollipop"	"MLH1"	2328
"STAMP_all_Lollipop"	"MRGPRD"	2330
"STAMP_all_Lollipop"	"MS4A3"	2332
"STAMP_all_Lollipop"	"MSH2"	2334
"STAMP_all_Lollipop"	"MTOR"	2336
"STAMP_all_Lollipop"	"MYC"	2338
"STAMP_all_Lollipop"	"MYCL"	2340
"STAMP_all_Lollipop"	"MYCN"	2342
"STAMP_all_Lollipop"	"MYD88"	2344
"STAMP_all_Lollipop"	"MYEOV"	2346
"STAMP_all_Lollipop"	"NAV3"	2348
"STAMP_all_Lollipop"	"NCAM1"	2350
"STAMP_all_Lollipop"	"NETO1"	2352
"STAMP_all_Lollipop"	"NF1"	2354
"STAMP_all_Lollipop"	"NF2"	2356
"STAMP_all_Lollipop"	"NFE2L2"	2358
"STAMP_all_Lollipop"	"NKD2"	2360
"STAMP_all_Lollipop"	"NKX2-1"	2362
"STAMP_all_Lollipop"	"NLRP3"	2364
"STAMP_all_Lollipop"	"NOTCH1"	2366
"STAMP_all_Lollipop"	"NRAS"	2368
"STAMP_all_Lollipop"	"NT5C1A"	2370
"STAMP_all_Lollipop"	"NTRK1"	2372
"STAMP_all_Lollipop"	"NTRK2"	2374
"STAMP_all_Lollipop"	"NTRK3"	2376
"STAMP_all_Lollipop"	"PABPC4"	2378
"STAMP_all_Lollipop"	"PAK7"	2380
"STAMP_all_Lollipop"	"PALB2"	2382
"STAMP_all_Lollipop"	"PARK2"	2384
"STAMP_all_Lollipop"	"PCBP1"	2386
"STAMP_all_Lollipop"	"PDGFRA"	2388
"STAMP_all_Lollipop"	"PDGFRB"	2390
"STAMP_all_Lollipop"	"PDYN"	2392
"STAMP_all_Lollipop"	"PDZRN3"	2394
"STAMP_all_Lollipop"	"PHC3"	2396
"STAMP_all_Lollipop"	"PIK3CA"	2398
"STAMP_all_Lollipop"	"PIK3R1"	2400
"STAMP_all_Lollipop"	"PKLR"	2402
"STAMP_all_Lollipop"	"POLD1"	2404
"STAMP_all_Lollipop"	"POLDIP2"	2406
"STAMP_all_Lollipop"	"POLE"	2408
"STAMP_all_Lollipop"	"POM121L12"	2410
